Abaddon,.5000,.6711,.5832,.6122,.6250,.6197,.6678,.6014,.5481,.6286,.5799,.5952,.6218,.5577,.5717,.6449,.6396,.5854,.5356,.5581,.5434,.6075,.5743,.6266,.5886,.5780,.6675,.5483,.5751,.6488,.6282,.5798,.6057,.5853,.6097,.6308,.6699,.5558,.6104,.5737,.6082,.6183,.5413,.5414,.6297,.5975,.5983,.6644,.5781,.5797,.6316,.5608,.6224,.5832,.6606,.6145,.6362,.5169,.5807,.6202,.5765,.4768,.6570,.6159,.5901,.5533,.5977,.6705,.6056,.6018,.6257,.5877,.5475,.6331,.5861,.6475,.5826,.5771,.5549,.6463,.5560,.5656,.6061,.5327,.5539,.6117,.5689,.5700,.6104,.6311,.5764,.6219,.6403,.5910,.5667,.5946,.5986,.4704,.5069,.5654,.5735,.5708,.6249,.5200,.5881,.5947,.5944,.5561,.5376,.5235
Alchemist,.3289,.5000,.4005,.4573,.4262,.4409,.4963,.4035,.3666,.4090,.4166,.4085,.4612,.3773,.3707,.4660,.4315,.4106,.3375,.4082,.3615,.4291,.3844,.4531,.3958,.3790,.4971,.3821,.4231,.4878,.4587,.3956,.4175,.3895,.4197,.4610,.4911,.3839,.3975,.4067,.4499,.4110,.3688,.3613,.4093,.4213,.4096,.4939,.3714,.4071,.4551,.3893,.4471,.3848,.4801,.4581,.4714,.3478,.3823,.4306,.3738,.2966,.5040,.4648,.3918,.3887,.4221,.4916,.3963,.4335,.4346,.4071,.3456,.4534,.4204,.4798,.3901,.3784,.3586,.4431,.3456,.3704,.4228,.3623,.3602,.4188,.3744,.3884,.4186,.4425,.3932,.4503,.4795,.4165,.3923,.3869,.4070,.3267,.3066,.3593,.3922,.3782,.4537,.3597,.4116,.4081,.4175,.3617,.3462,.3547
Anceint_Apparition,.4168,.5995,.5000,.5030,.5386,.5265,.5741,.4914,.4496,.5108,.4819,.5248,.5401,.4565,.4563,.5605,.5112,.4840,.4426,.4846,.4919,.5109,.4847,.5304,.4941,.4686,.5596,.4593,.4941,.5484,.5446,.4758,.4980,.4837,.5209,.5411,.5875,.4778,.4790,.4927,.5240,.5134,.4624,.4626,.5137,.5100,.5049,.5698,.4731,.4735,.5326,.4593,.5472,.4724,.5712,.5245,.5399,.4507,.4789,.5229,.4722,.4104,.5739,.5454,.4911,.4500,.4815,.5694,.4812,.5124,.5180,.4977,.4370,.5404,.5048,.5630,.4803,.4670,.4414,.5328,.4573,.4772,.5107,.4052,.4363,.4873,.4640,.4688,.5039,.5323,.4860,.5399,.5458,.5024,.4837,.4999,.4910,.4268,.4053,.4585,.4742,.4810,.5262,.4481,.4915,.4937,.5176,.4629,.4297,.4147
Anti-Mage,.3884,.5425,.4967,.5000,.4664,.4873,.5510,.4427,.3734,.4784,.4719,.4660,.5111,.4192,.4240,.5167,.4729,.4862,.3837,.4620,.4154,.4683,.4350,.4937,.4409,.4123,.5428,.4176,.4654,.5201,.5079,.4454,.4594,.4562,.4430,.5027,.5374,.4374,.4589,.4631,.4816,.4358,.4342,.4287,.4779,.4740,.4578,.5312,.4211,.4442,.5052,.4633,.4651,.4496,.5451,.5111,.5422,.4039,.4176,.4892,.4337,.3430,.5617,.4865,.4108,.4481,.4738,.5421,.4485,.4985,.4865,.4683,.3779,.5087,.4708,.5220,.4446,.4147,.4142,.5061,.3757,.4687,.4785,.4019,.3927,.4990,.4079,.4366,.4515,.4886,.4461,.4922,.5429,.4429,.4392,.4198,.4613,.3935,.3531,.4084,.4470,.4452,.5062,.4075,.4636,.4573,.4800,.4118,.4305,.4186
Axe,.3752,.5739,.4613,.5336,.5000,.5254,.5601,.5037,.4403,.5055,.4874,.4858,.5800,.4373,.4680,.5460,.5423,.4449,.4132,.4488,.4548,.4867,.4371,.5052,.4608,.4782,.5339,.4279,.4657,.5315,.5369,.4523,.5059,.4351,.5037,.5179,.5671,.4289,.4872,.4685,.4881,.4968,.4109,.4162,.4943,.4881,.4875,.5668,.4420,.5121,.5078,.4363,.5339,.4630,.5457,.5387,.5523,.3830,.4745,.5166,.4455,.3630,.5937,.5216,.4926,.4800,.4451,.5496,.4646,.4771,.4927,.4777,.4582,.5350,.4827,.5436,.4502,.4546,.4048,.5121,.4350,.4571,.4978,.3864,.4319,.4877,.4393,.4509,.5168,.5507,.4531,.4836,.5402,.4759,.4626,.4947,.4898,.3669,.3959,.4435,.4229,.4557,.5480,.4049,.4993,.4902,.4873,.4220,.4086,.3837
Bane,.3803,.5591,.4735,.5122,.4746,.5000,.5415,.4528,.4102,.4807,.4668,.4661,.5102,.4201,.4117,.5203,.5150,.4513,.3973,.4497,.4334,.4653,.4447,.4846,.4557,.4410,.5382,.4068,.4657,.5152,.5176,.4393,.4809,.4343,.4644,.5059,.5562,.4424,.4617,.4616,.4744,.4701,.4174,.4231,.4783,.4733,.4667,.5328,.4336,.4624,.4985,.4428,.4739,.4450,.5217,.4864,.5177,.3880,.4443,.4925,.4206,.3687,.5529,.5148,.4624,.4058,.4591,.5215,.4415,.4804,.4849,.4540,.4147,.5021,.4541,.5289,.4454,.4288,.4050,.5069,.4122,.4377,.4731,.3881,.4078,.4772,.4240,.4452,.4818,.5057,.4286,.5004,.5329,.4654,.4497,.4667,.4555,.3664,.3804,.4197,.4449,.4413,.5139,.3999,.4718,.4690,.4764,.4143,.3970,.3879
Batrider,.3322,.5037,.4259,.4494,.4401,.4585,.5000,.4160,.3681,.4377,.4256,.4198,.4828,.3785,.3977,.4830,.4596,.4168,.3608,.4199,.3868,.4291,.3949,.4420,.4101,.3904,.5031,.3749,.4456,.4616,.4666,.4011,.4202,.3904,.4019,.4628,.5018,.3941,.4044,.4166,.4504,.4228,.3738,.3793,.4285,.4289,.4215,.4963,.3926,.4191,.4602,.3957,.4626,.3995,.4715,.4557,.4774,.3413,.4032,.4525,.3778,.3205,.5039,.4739,.4156,.3894,.4062,.4864,.4112,.4383,.4304,.4144,.3790,.4631,.4293,.4871,.3941,.3940,.3659,.4628,.3787,.3896,.4205,.3399,.3719,.4179,.3895,.3954,.4649,.4555,.3924,.4531,.4833,.4292,.4150,.4173,.4209,.3222,.3408,.3771,.3896,.3801,.4787,.3751,.4075,.4133,.4364,.3738,.3603,.3452
Beastmaster,.3986,.5965,.5086,.5569,.4961,.5472,.5840,.5000,.4518,.5281,.4944,.4874,.5555,.4519,.4640,.5636,.5454,.4924,.4333,.4714,.4666,.5060,.4739,.5382,.4790,.4749,.5737,.4498,.4917,.5602,.5428,.4767,.5134,.4668,.5183,.5502,.5787,.4537,.5085,.4872,.5144,.5118,.4449,.4396,.5310,.5138,.5161,.5763,.4688,.5044,.5361,.4626,.5281,.4914,.5676,.5320,.5570,.4278,.4882,.5415,.4747,.3895,.6108,.5610,.4914,.4601,.4964,.5737,.4951,.5126,.5255,.4982,.4481,.5471,.4903,.5716,.4805,.4708,.4623,.5518,.4535,.4838,.5006,.4259,.4565,.5175,.4643,.4855,.5330,.5342,.4643,.5224,.5651,.5009,.4791,.4981,.5109,.3960,.4090,.4560,.4680,.4782,.5502,.4371,.5004,.5044,.4933,.4531,.4441,.4257
Bloodseeker,.4519,.6334,.5504,.6264,.5597,.5898,.6319,.5482,.5000,.5722,.5338,.5660,.5934,.5131,.5032,.6061,.6013,.5241,.4744,.5408,.5091,.5816,.5329,.5965,.5262,.5398,.6227,.5038,.5368,.6096,.5902,.5278,.5485,.5374,.5528,.6133,.6312,.5203,.5407,.5463,.5781,.5427,.4997,.5018,.5491,.5632,.5478,.6212,.5149,.5591,.5947,.5075,.5886,.5433,.6158,.5907,.6001,.4635,.5409,.5770,.5127,.4453,.6426,.6078,.5344,.5260,.5591,.6171,.5324,.5672,.5823,.5605,.5174,.6027,.5627,.6198,.5261,.5085,.5108,.5919,.4893,.5469,.5603,.4836,.5032,.5425,.5106,.4985,.5728,.5810,.5400,.5957,.5918,.5394,.5333,.5289,.5440,.4810,.4526,.5026,.5148,.5302,.5802,.4922,.5811,.5565,.5464,.5059,.4520,.4622
Bounty_Hunter,.3714,.5910,.4892,.5210,.4943,.5193,.5623,.4719,.4278,.5000,.4829,.4910,.5661,.4327,.4287,.5430,.5495,.4641,.4019,.4615,.4441,.5127,.4607,.5285,.4746,.4778,.5436,.4274,.4755,.5402,.5303,.4567,.4832,.4752,.4688,.5417,.5687,.4552,.4867,.4872,.5172,.4772,.4426,.4471,.4964,.4992,.4860,.5742,.4544,.4890,.5164,.4574,.4961,.4759,.5486,.5035,.5523,.4001,.4704,.5112,.4432,.3663,.5763,.5400,.4713,.4284,.4700,.5435,.4616,.4955,.4998,.4849,.4616,.5259,.4893,.5563,.4778,.4421,.4438,.5255,.4091,.4547,.5022,.4067,.4312,.4834,.4558,.4427,.5216,.5193,.4521,.5306,.5331,.4743,.4633,.4761,.4796,.4139,.3904,.4403,.4456,.4660,.5280,.4444,.5069,.4923,.4829,.4529,.4130,.4096
